interval,number_of_buses,total_passengers_serviced,total_passengers_lost,revenue_gained,revenue_lost,total_wait_time,avg_wait_time,prgm_exec_time
20,35,1750,8250 5250 24750 19254 11.0 0.17940521240234375
20,35,1750,8250 5250 24750 18914 10.81 0.17273306846618652
20,35,1750,8250 5250 24750 19818 11.32 0.17162513732910156
20,35,1750,8250 5250 24750 18907 10.8 0.17058992385864258
20,35,1750,8250 5250 24750 19673 11.24 0.16939115524291992
15,47,2350,7650 7050 22950 18591 7.91 0.24483704566955566
15,47,2350,7650 7050 22950 18870 8.03 0.22253990173339844
15,47,2350,7650 7050 22950 18874 8.03 0.2201228141784668
15,47,2350,7650 7050 22950 18397 7.83 0.22041583061218262
15,47,2350,7650 7050 22950 18678 7.95 0.22133088111877441
10,71,3550,6450 10650 19350 18358 5.17 0.3241453170776367
10,71,3540,6460 10620 19380 18197 5.14 0.32196497917175293
10,71,3550,6450 10650 19350 18346 5.17 0.3186948299407959
10,71,3546,6454 10638 19362 18232 5.14 0.31931066513061523
10,71,3550,6450 10650 19350 18534 5.22 0.32390284538269043
5,143,6993,3007 20979 9021 16942 2.42 0.6623950004577637
5,143,7019,2981 21057 8943 17280 2.46 0.8186240196228027
5,143,6986,3014 20958 9042 16969 2.43 0.7501189708709717
5,143,6993,3007 20979 9021 16864 2.41 0.6780388355255127
5,143,6978,3022 20934 9066 16590 2.38 0.6739277839660645
